"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
16 Feb 2016 10:24:41.944,40.051,20.000,1824.571339
16 Feb 2016 10:25:01.000,41.637,22.488,1712.559220
16 Feb 2016 10:25:21.000,43.598,25.360,1598.349939
16 Feb 2016 10:25:41.000,45.954,28.539,1488.406528
16 Feb 2016 10:26:01.000,48.836,32.060,1383.800672
16 Feb 2016 10:26:21.000,52.435,35.949,1285.887794
16 Feb 2016 10:26:41.000,57.033,40.200,1196.361086
16 Feb 2016 10:27:01.000,63.042,44.736,1117.283749
16 Feb 2016 10:27:21.000,71.046,49.355,1051.056268
16 Feb 2016 10:27:41.000,81.757,53.639,1000.267275
16 Feb 2016 10:28:01.000,95.669,56.903,967.377301
16 Feb 2016 10:28:21.000,112.192,58.337,954.255519
16 Feb 2016 10:28:41.000,129.081,57.478,961.719316
16 Feb 2016 10:29:01.000,143.806,54.608,989.301868
16 Feb 2016 10:29:21.000,155.335,50.504,1035.387070
16 Feb 2016 10:29:41.000,163.979,45.908,1097.630503
16 Feb 2016 10:30:01.000,170.447,41.310,1173.440584
16 Feb 2016 10:30:21.000,175.367,36.961,1260.343653
16 Feb 2016 10:30:41.000,179.194,32.964,1356.176764
16 Feb 2016 10:31:01.000,182.240,29.339,1459.145074
16 Feb 2016 10:31:21.000,184.715,26.066,1567.804658
16 Feb 2016 10:31:41.000,186.766,23.110,1681.010908
16 Feb 2016 10:32:01.000,188.492,20.433,1797.861810
16 Feb 2016 10:32:04.421,188.761,20.000,1818.160799
16 Feb 2016 12:04:53.970,47.177,20.000,1824.257496
16 Feb 2016 12:05:13.000,47.202,22.630,1706.337703
16 Feb 2016 12:05:33.000,47.217,25.720,1584.961193
16 Feb 2016 12:05:53.000,47.215,29.218,1466.900955
16 Feb 2016 12:06:13.000,47.191,33.212,1353.084221
16 Feb 2016 12:06:33.000,47.135,37.814,1244.732717
16 Feb 2016 12:06:53.000,47.029,43.150,1143.455769
16 Feb 2016 12:07:13.000,46.841,49.360,1051.350801
16 Feb 2016 12:07:33.000,46.500,56.570,971.078372
16 Feb 2016 12:07:53.000,45.831,64.844,905.829604
16 Feb 2016 12:08:13.000,44.203,74.117,859.066855
16 Feb 2016 12:08:33.000,36.604,84.082,833.929050
16 Feb 2016 12:08:53.000,243.917,85.268,832.389889
16 Feb 2016 12:09:13.000,233.569,75.266,854.578748
16 Feb 2016 12:09:33.000,231.711,65.879,898.732051
16 Feb 2016 12:09:53.000,230.977,57.468,961.812777
16 Feb 2016 12:10:13.000,230.610,50.123,1040.360299
16 Feb 2016 12:10:33.000,230.407,43.790,1131.127134
16 Feb 2016 12:10:53.000,230.291,38.349,1231.379997
16 Feb 2016 12:11:13.000,230.228,33.660,1338.951753
16 Feb 2016 12:11:33.000,230.198,29.594,1452.176048
16 Feb 2016 12:11:53.000,230.192,26.038,1569.786199
16 Feb 2016 12:12:13.000,230.201,22.899,1690.821921
16 Feb 2016 12:12:33.000,230.223,20.103,1814.550678
16 Feb 2016 12:12:33.778,230.224,20.001,1819.410054
16 Feb 2016 13:44:56.140,61.176,20.000,1823.530509
16 Feb 2016 13:45:16.000,60.198,22.702,1702.700713
16 Feb 2016 13:45:36.000,58.998,25.732,1584.058117
16 Feb 2016 13:45:56.000,57.512,29.131,1469.257627
16 Feb 2016 13:46:16.000,55.630,32.965,1359.329980
16 Feb 2016 13:46:36.000,53.189,37.301,1255.610399
16 Feb 2016 13:46:56.000,49.920,42.198,1159.817095
16 Feb 2016 13:47:16.000,45.373,47.667,1074.121131
16 Feb 2016 13:47:36.000,38.750,53.605,1001.160892
16 Feb 2016 13:47:56.000,28.633,59.651,943.929762
16 Feb 2016 13:48:16.000,12.804,64.926,905.443217
16 Feb 2016 13:48:36.000,349.925,67.829,888.159206
16 Feb 2016 13:48:56.000,324.720,66.903,893.317489
16 Feb 2016 13:49:16.000,305.004,62.668,920.539174
16 Feb 2016 13:49:36.000,292.117,56.878,967.953618
16 Feb 2016 13:49:56.000,283.842,50.807,1032.764989
