"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
16 Feb 2016 10:25:49.549,47.112,30.000,1442.969323
16 Feb 2016 10:26:09.000,50.176,33.571,1343.745498
16 Feb 2016 10:26:29.000,54.135,37.608,1248.963562
16 Feb 2016 10:26:49.000,59.238,41.988,1163.348601
16 Feb 2016 10:27:09.000,65.965,46.592,1089.107355
16 Feb 2016 10:27:29.000,74.966,51.142,1028.742889
16 Feb 2016 10:27:49.000,86.935,55.113,984.840025
16 Feb 2016 10:28:09.000,102.058,57.737,959.682991
16 Feb 2016 10:28:29.000,119.065,58.270,954.767851
16 Feb 2016 10:28:49.000,135.329,56.533,970.406469
16 Feb 2016 10:29:09.000,148.802,53.068,1005.636056
16 Feb 2016 10:29:29.000,159.100,48.691,1058.489738
16 Feb 2016 10:29:49.000,166.788,44.051,1126.470561
16 Feb 2016 10:30:09.000,172.571,39.532,1206.999909
16 Feb 2016 10:30:29.000,177.009,35.318,1297.714044
16 Feb 2016 10:30:49.000,180.493,31.470,1396.595865
16 Feb 2016 10:30:57.193,181.709,30.001,1439.064863
16 Feb 2016 12:05:57.139,47.212,30.000,1442.962777
16 Feb 2016 12:06:17.000,47.183,34.080,1330.931334
16 Feb 2016 12:06:37.000,47.119,38.818,1223.851801
16 Feb 2016 12:06:57.000,46.999,44.318,1124.224205
16 Feb 2016 12:07:17.000,46.788,50.719,1034.254469
16 Feb 2016 12:07:37.000,46.402,58.139,956.717105
16 Feb 2016 12:07:57.000,45.621,66.624,894.888001
16 Feb 2016 12:08:17.000,43.577,76.071,852.223891
16 Feb 2016 12:08:37.000,30.281,86.075,831.699972
16 Feb 2016 12:08:57.000,239.328,83.259,834.960928
16 Feb 2016 12:09:17.000,233.010,73.321,861.736619
16 Feb 2016 12:09:37.000,231.515,64.113,909.943607
16 Feb 2016 12:09:57.000,230.884,55.914,976.394876
16 Feb 2016 12:10:17.000,230.559,48.779,1057.631766
16 Feb 2016 12:10:37.000,230.378,42.635,1150.496023
16 Feb 2016 12:10:57.000,230.275,37.355,1252.368950
16 Feb 2016 12:11:17.000,230.220,32.801,1361.190205
16 Feb 2016 12:11:30.875,230.200,30.000,1439.916749
16 Feb 2016 13:46:00.753,57.105,30.000,1442.650163
16 Feb 2016 13:46:20.000,55.194,33.789,1338.040344
16 Feb 2016 13:46:40.000,52.612,38.234,1235.754957
16 Feb 2016 13:47:00.000,49.132,43.247,1141.792376
16 Feb 2016 13:47:20.000,44.248,48.824,1058.418106
16 Feb 2016 13:47:40.000,37.066,54.824,988.357109
16 Feb 2016 13:48:00.000,26.004,60.808,934.641873
16 Feb 2016 13:48:20.000,8.763,65.757,900.229159
16 Feb 2016 13:48:40.000,344.781,67.969,887.383406
16 Feb 2016 13:49:00.000,320.188,66.267,897.037809
16 Feb 2016 13:49:20.000,301.940,61.582,928.487204
16 Feb 2016 13:49:40.000,290.166,55.659,979.622074
16 Feb 2016 13:50:00.000,282.560,49.620,1047.543771
16 Feb 2016 13:50:20.000,277.423,43.968,1129.200331
16 Feb 2016 13:50:40.000,273.784,38.871,1221.809464
16 Feb 2016 13:51:00.000,271.099,34.347,1323.037505
16 Feb 2016 13:51:20.000,269.049,30.348,1431.016696
16 Feb 2016 13:51:21.857,268.884,30.001,1441.329444
16 Feb 2016 15:25:49.941,78.867,30.000,1441.841003
16 Feb 2016 15:26:09.000,76.653,33.695,1339.777356
16 Feb 2016 15:26:29.000,73.658,38.039,1239.330034
16 Feb 2016 15:26:49.000,69.658,42.886,1147.508673
16 Feb 2016 15:27:09.000,64.133,48.194,1066.588532
16 Feb 2016 15:27:29.000,56.219,53.765,999.261586
16 Feb 2016 15:27:49.000,44.587,59.096,948.459059
16 Feb 2016 15:28:09.000,27.808,63.199,916.955814
16 Feb 2016 15:28:29.000,6.490,64.720,906.779819
16 Feb 2016 15:28:49.000,345.393,62.964,918.644756
16 Feb 2016 15:29:09.000,329.026,58.725,951.721861
16 Feb 2016 15:29:29.000,317.729,53.349,1003.902951
16 Feb 2016 15:29:49.000,310.036,47.787,1072.382347
16 Feb 2016 15:30:09.000,304.650,42.512,1154.235445
16 Feb 2016 15:30:29.000,300.741,37.704,1246.799052
16 Feb 2016 15:30:49.000,297.807,33.399,1347.832030
16 Feb 2016 15:31:06.613,295.782,30.001,1442.375934
16 Feb 2016 17:05:34.638,113.166,30.000,1440.483807
16 Feb 2016 17:05:54.000,112.204,33.944,1332.286252
16 Feb 2016 17:06:14.000,110.886,38.612,1226.421005
16 Feb 2016 17:06:34.000,109.062,43.990,1128.268407
16 Feb 2016 17:06:54.000,106.402,50.174,1040.062565
16 Feb 2016 17:07:14.000,102.222,57.197,964.579802
16 Feb 2016 17:07:34.000,94.895,64.906,905.045089
16 Feb 2016 17:07:54.000,79.851,72.626,864.786739
16 Feb 2016 17:08:14.000,45.450,77.938,846.577186
16 Feb 2016 17:08:34.000,359.469,76.211,851.839443
16 Feb 2016 17:08:54.000,335.332,69.339,880.150131
16 Feb 2016 17:09:14.000,324.596,61.484,929.393320
16 Feb 2016 17:09:34.000,318.960,54.044,996.450868
16 Feb 2016 17:09:54.000,315.570,47.392,1077.976463
16 Feb 2016 17:10:14.000,313.333,41.578,1170.920155
16 Feb 2016 17:10:34.000,311.761,36.531,1272.746908
16 Feb 2016 17:10:54.000,310.605,32.145,1381.453542
16 Feb 2016 17:11:04.875,310.099,30.000,1442.884827
16 Feb 2016 18:45:46.476,157.791,30.000,1439.257640
16 Feb 2016 18:46:06.000,159.543,33.894,1332.472324
16 Feb 2016 18:46:26.000,161.842,38.427,1229.285332
16 Feb 2016 18:46:46.000,164.911,43.583,1134.124858
16 Feb 2016 18:47:06.000,169.209,49.397,1049.222408
16 Feb 2016 18:47:26.000,175.602,55.793,977.295742
16 Feb 2016 18:47:46.000,185.821,62.424,921.421326
16 Feb 2016 18:48:06.000,203.120,68.327,884.671022
16 Feb 2016 18:48:26.000,230.384,71.466,869.488234
16 Feb 2016 18:48:46.000,260.133,69.889,876.999217
16 Feb 2016 18:49:06.000,280.875,64.680,906.635765
16 Feb 2016 18:49:26.000,293.130,58.160,956.329652
16 Feb 2016 18:49:46.000,300.610,51.633,1023.141949
16 Feb 2016 18:50:06.000,305.517,45.608,1103.941443
16 Feb 2016 18:50:26.000,308.954,40.232,1195.864168
16 Feb 2016 18:50:46.000,311.489,35.497,1296.510185
16 Feb 2016 18:51:06.000,313.440,31.338,1403.964462
16 Feb 2016 18:51:13.014,314.022,30.001,1442.975964
16 Feb 2016 20:27:08.354,213.731,30.000,1439.462792
16 Feb 2016 20:27:28.000,218.933,32.688,1363.892972
16 Feb 2016 20:27:48.000,225.161,35.357,1297.325424
16 Feb 2016 20:28:08.000,232.433,37.800,1242.911015
16 Feb 2016 20:28:28.000,240.759,39.811,1202.323999
16 Feb 2016 20:28:48.000,249.985,41.164,1177.011527
16 Feb 2016 20:29:08.000,259.753,41.675,1167.976270
16 Feb 2016 20:29:28.000,269.548,41.267,1175.595354
16 Feb 2016 20:29:48.000,278.848,40.004,1199.546212
16 Feb 2016 20:30:08.000,287.274,38.062,1238.870252
16 Feb 2016 20:30:28.000,294.653,35.664,1292.146635
16 Feb 2016 20:30:48.000,300.983,33.022,1357.710784
16 Feb 2016 20:31:08.000,306.361,30.299,1433.850519
16 Feb 2016 20:31:10.195,306.898,30.000,1442.779865
17 Feb 2016 10:02:54.618,48.633,30.000,1442.909999
17 Feb 2016 10:03:14.000,52.471,33.291,1350.893998
17 Feb 2016 10:03:34.000,57.350,36.908,1264.133913
17 Feb 2016 10:03:54.000,63.448,40.657,1187.538132
17 Feb 2016 10:04:14.000,71.109,44.353,1123.225966
17 Feb 2016 10:04:34.000,80.654,47.674,1073.440037
17 Feb 2016 10:04:54.000,92.166,50.174,1040.292635
17 Feb 2016 10:05:14.000,105.181,51.381,1025.415804
17 Feb 2016 10:05:34.000,118.572,51.012,1029.610457
17 Feb 2016 10:05:54.000,131.011,49.157,1052.649024
17 Feb 2016 10:06:14.000,141.651,46.212,1093.333689
17 Feb 2016 10:06:34.000,150.312,42.659,1149.778120
17 Feb 2016 10:06:54.000,157.221,38.895,1219.775969
17 Feb 2016 10:07:14.000,162.726,35.177,1301.116064
17 Feb 2016 10:07:34.000,167.150,31.645,1391.780464
17 Feb 2016 10:07:43.812,169.007,30.000,1439.129540
17 Feb 2016 11:43:00.033,46.346,30.000,1442.988959
17 Feb 2016 11:43:20.000,46.963,34.087,1330.755930
17 Feb 2016 11:43:40.000,47.748,38.804,1224.128130
17 Feb 2016 11:44:00.000,48.791,44.268,1124.997930
17 Feb 2016 11:44:20.000,50.268,50.608,1035.570703
17 Feb 2016 11:44:40.000,52.557,57.919,958.611591
17 Feb 2016 11:45:00.000,56.644,66.194,897.372425
17 Feb 2016 11:45:20.000,66.060,75.143,855.267446
17 Feb 2016 11:45:40.000,102.073,83.116,835.215999
17 Feb 2016 11:46:00.000,182.186,81.039,838.811542
17 Feb 2016 11:46:20.000,204.278,72.308,865.759433
17 Feb 2016 11:46:40.000,211.253,63.494,913.986619
17 Feb 2016 11:47:00.000,214.595,55.496,980.340055
17 Feb 2016 11:47:20.000,216.565,48.483,1061.400586
17 Feb 2016 11:47:40.000,217.877,42.418,1154.043082
17 Feb 2016 11:48:00.000,218.824,37.192,1255.672090
17 Feb 2016 11:48:20.000,219.547,32.676,1364.241844
17 Feb 2016 11:48:33.323,219.944,30.000,1439.624901
17 Feb 2016 13:23:05.989,53.885,30.000,1442.756825
17 Feb 2016 13:23:25.000,52.296,33.785,1338.225639
17 Feb 2016 13:23:45.000,50.116,38.302,1234.402001
17 Feb 2016 13:24:05.000,47.154,43.438,1138.627360
17 Feb 2016 13:24:25.000,42.947,49.226,1053.147629
17 Feb 2016 13:24:45.000,36.622,55.585,980.701481
17 Feb 2016 13:25:05.000,26.464,62.160,924.393562
17 Feb 2016 13:25:25.000,9.316,67.981,887.328973
17 Feb 2016 13:25:45.000,342.575,71.035,871.982366
17 Feb 2016 13:26:05.000,313.562,69.451,879.498809
17 Feb 2016 13:26:25.000,293.200,64.287,909.308955
17 Feb 2016 13:26:45.000,281.103,57.807,959.324905
17 Feb 2016 13:27:05.000,273.733,51.308,1026.578319
17 Feb 2016 13:27:25.000,268.935,45.302,1107.908130
